Development_Name,Borough,Account_Name,Location,Funding_Source,AMP_Number,Vendor_Name,UMIS_BILL_ID,Revenue_Month,Service_Start_Date,DATE,Number_of_days,Meter_Number,Estimated,Current_Charges,Rate_Class,Bill_Analyzed,Consumption_Therms,ES_Commodity,Underlying_Utility,STATION,NAME,LATITUDE,LONGITUDE,PRCP,SNOW,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
UNIVERSITY AVENUE REHAB,BRONX,UNIVERSITY AVENUE REHAB,BLD 02,FEDERAL,NY005013410P,EAST COAST POWER & GAS,8048584,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,N,772.41,,Yes,1907.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
UNION AVENUE-EAST 166TH STREET,BRONX,UNION AVENUE-EAST 166TH STREET,BLD 06,FEDERAL,NY005013420P,EAST COAST POWER & GAS,8048674,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,N,214.67,,Yes,530.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
UNION AVENUE-EAST 166TH STREET,BRONX,UNION AVENUE-EAST 166TH STREET,BLD 05,FEDERAL,NY005013420P,EAST COAST POWER & GAS,8048673,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,N,244.24,,Yes,603.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
UNION AVENUE-EAST 166TH STREET,BRONX,UNION AVENUE-EAST 166TH STREET,BLD 04,FEDERAL,NY005013420P,EAST COAST POWER & GAS,8048672,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,N,252.34,,Yes,623.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
UNION AVENUE-EAST 166TH STREET,BRONX,UNION AVENUE-EAST 166TH STREET,BLD 02,FEDERAL,NY005013420P,EAST COAST POWER & GAS,8048671,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,N,356.84,,Yes,881.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
UNION AVENUE-EAST 166TH STREET,BRONX,UNION AVENUE-EAST 166TH STREET,BLD 03,FEDERAL,NY005013420P,EAST COAST POWER & GAS,8048670,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,N,652.11,,Yes,1610.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
UNION AVENUE-EAST 163RD STREET,BRONX,UNION AVENUE-EAST 163RD STREET,BLD 01,FEDERAL,NY005013420P,EAST COAST POWER & GAS,8048669,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,N,781.32,,Yes,1929.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
TWIN PARKS EAST (SITE 9),BRONX,TWIN PARKS EAST (SITE 9),BLD 01,FEDERAL,NY005012270P,EAST COAST POWER & GAS,8048705,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,N,1010.98,,Yes,2496.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
THROGGS NECK ADDITION,BRONX,THROGGS NECK ADDITION,,FEDERAL,NY005010630P,EAST COAST POWER & GAS,8048613,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,N,4367.94,,Yes,10784.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
THROGGS NECK,BRONX,THROGGS NECK,BLD 14,FEDERAL,NY005010630P,EAST COAST POWER & GAS,8048612,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,,0.0,,Yes,0.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
TELLER AVENUE-EAST 166TH STREET,BRONX,TELLER AVENUE-EAST 166TH STREET,BLD 01,FEDERAL,NY005013080P,EAST COAST POWER & GAS,8048648,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,N,1205.8,,Yes,2977.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
STEBBINS AVENUE-HEWITT PLACE,BRONX,STEBBINS AVENUE-HEWITT PLACE,BLD 02,FEDERAL,NY005013420P,EAST COAST POWER & GAS,8048618,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,N,736.77,,Yes,1819.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
STEBBINS AVENUE-HEWITT PLACE,BRONX,STEBBINS AVENUE-HEWITT PLACE,BLD 01,FEDERAL,NY005013420P,EAST COAST POWER & GAS,8048617,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,N,627.81,,Yes,1550.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
STEBBINS AVENUE-HEWITT PLACE,BRONX,STEBBINS AVENUE-HEWITT PLACE,BLD 02,FEDERAL,NY005013420P,EAST COAST POWER & GAS,8048616,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,N,156.34,,Yes,386.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
SOUTH BRONX AREA (SITE 402),BRONX,SOUTH BRONX AREA (SITE 402),BLD 01,FEDERAL,NY005013420P,EAST COAST POWER & GAS,8048602,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,,0.0,,Yes,0.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
SOUTH BRONX AREA (SITE 402),BRONX,SOUTH BRONX AREA (SITE 402),BLD 02,FEDERAL,NY005013420P,EAST COAST POWER & GAS,8048601,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,N,285.96,,Yes,706.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
SOUNDVIEW,BRONX,SOUNDVIEW,BLD 08,FEDERAL,NY005000710P,EAST COAST POWER & GAS,8048629,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,N,4979.15,,Yes,12293.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
